Date,Annual VMT (Billion Miles)
01/01/92,2182
02/01/92,2189
03/01/92,2194
04/01/92,2200
05/01/92,2205
06/01/92,2209
07/01/92,2218
08/01/92,2219
09/01/92,2226
10/01/92,2233
11/01/92,2240
12/01/92,2248
01/01/93,2252
02/01/93,2255
03/01/93,2259
04/01/93,2262
05/01/93,2271
06/01/93,2273
07/01/93,2276
08/01/93,2281
09/01/93,2284
10/01/93,2287
11/01/93,2292
12/01/93,2298
01/01/94,2295
02/01/94,2298
03/01/94,2306
04/01/94,2312
05/01/94,2313
06/01/94,2321
07/01/94,2326
08/01/94,2331
09/01/94,2338
10/01/94,2343
11/01/94,2351
12/01/94,2357
01/01/95,2382
02/01/95,2387
03/01/95,2392
04/01/95,2395
05/01/95,2401
06/01/95,2405
07/01/95,2407
08/01/95,2411
09/01/95,2414
10/01/95,2418
11/01/95,2422
12/01/95,2422
01/01/96,2411
02/01/96,2417
03/01/96,2420
04/01/96,2427
05/01/96,2433
06/01/96,2438
07/01/96,2446
08/01/96,2456
09/01/96,2460
10/01/96,2469
11/01/96,2475
12/01/96,2483
01/01/97,2490
02/01/97,2497
03/01/97,2505
04/01/97,2511
05/01/97,2518
06/01/97,2524
07/01/97,2536
08/01/97,2540
09/01/97,2546
10/01/97,2551
11/01/97,2553
12/01/97,2559
01/01/98,2566
02/01/98,2569
03/01/98,2571
04/01/98,2578
05/01/98,2580
06/01/98,2587
07/01/98,2590
08/01/98,2594
09/01/98,2599
10/01/98,2607
11/01/98,2616
12/01/98,2625
01/01/99,2622
02/01/99,2626
03/01/99,2633
04/01/99,2636
05/01/99,2639
06/01/99,2646
07/01/99,2649
08/01/99,2654
09/01/99,2659
10/01/99,2664
11/01/99,2675
12/01/99,2680
01/01/00,2689
02/01/00,2697
03/01/00,2708
04/01/00,2715
05/01/00,2727
06/01/00,2734
07/01/00,2736
08/01/00,2742
09/01/00,2746
10/01/00,2748
11/01/00,2749
12/01/00,2746
01/01/01,2753
02/01/01,2755
03/01/01,2756
04/01/01,2761
05/01/01,2763
06/01/01,2763
07/01/01,2768
08/01/01,2773
09/01/01,2771
10/01/01,2776
11/01/01,2784
12/01/01,2796
01/01/02,2801
02/01/02,2808
03/01/02,2811
04/01/02,2815
05/01/02,2822
06/01/02,2827
07/01/02,2833
08/01/02,2839
09/01/02,2847
10/01/02,2852
11/01/02,2852
12/01/02,2856
01/01/03,2860
02/01/03,2856
03/01/03,2857
04/01/03,2859
05/01/03,2860
06/01/03,2864
07/01/03,2870
08/01/03,2872
09/01/03,2875
10/01/03,2883
11/01/03,2886
12/01/03,2891
01/01/04,2894
02/01/04,2904
03/01/04,2918
04/01/04,2930
05/01/04,2934
06/01/04,2939
07/01/04,2943
08/01/04,2945
09/01/04,2952
10/01/04,2952
11/01/04,2958
12/01/04,2964
01/01/05,2966
02/01/05,2972
03/01/05,2974
04/01/05,2974
05/01/05,2980
06/01/05,2987
07/01/05,2988
08/01/05,2990
09/01/05,2988
10/01/05,2985
11/01/05,2988
12/01/05,2989
01/01/06,2998
02/01/06,2999
03/01/06,3003
04/01/06,3003
05/01/06,3003
06/01/06,3003
07/01/06,2999
08/01/06,2999
09/01/06,3003
10/01/06,3010
11/01/06,3012
12/01/06,3014
01/01/07,3015
02/01/07,3013
03/01/07,3016
04/01/07,3018
05/01/07,3023
06/01/07,3024
07/01/07,3028
08/01/07,3034
09/01/07,3034
10/01/07,3038
11/01/07,3039
12/01/07,3031
01/01/08,3030
02/01/08,3033
03/01/08,3026
04/01/08,3026
05/01/08,3020
06/01/08,3011
07/01/08,3006
08/01/08,2996
09/01/08,2989
10/01/08,2983
11/01/08,2974
12/01/08,2976
01/01/09,2968
02/01/09,2964
03/01/09,2958
04/01/09,2956
05/01/09,2953
06/01/09,2955
07/01/09,2958
08/01/09,2958
09/01/09,2961
10/01/09,2958
11/01/09,2958
12/01/09,2956
01/01/10,2951
02/01/10,2944
03/01/10,2949
04/01/10,2952
05/01/10,2950
06/01/10,2952
07/01/10,2953
08/01/10,2956
09/01/10,2959
10/01/10,2963
11/01/10,2966
12/01/10,2967
01/01/11,2970
02/01/11,2973
03/01/11,2972
04/01/11,2968
05/01/11,2966
06/01/11,2964
07/01/11,2959
08/01/11,2956
09/01/11,2953
10/01/11,2948
11/01/11,2947
12/01/11,2951
01/01/12,2955
02/01/12,2960
03/01/12,2963
04/01/12,2963
05/01/12,2969
06/01/12,2971
07/01/12,2971
08/01/12,2975
09/01/12,2972
10/01/12,2974
11/01/12,2976
12/01/12,2970
01/01/13,2972
02/01/13,2969
03/01/13,2966
04/01/13,2968
05/01/13,2971
06/01/13,2971
07/01/13,2975
08/01/13,2979
09/01/13,2983
10/01/13,2988
11/01/13,2987
12/01/13,2989
01/01/14,2986
02/01/14,2984
03/01/14,2984
04/01/14,2989
05/01/14,2992
06/01/14,2996
07/01/14,3002
08/01/14,3002
09/01/14,3007
10/01/14,3014
11/01/14,3016
12/01/14,3027
01/01/15,3037
02/01/15,3043
03/01/15,3052
04/01/15,3061
05/01/15,3068
06/01/15,3078
07/01/15,3089
08/01/15,3095
09/01/15,3105
10/01/15,3111
11/01/15,3120
12/01/15,3130
01/01/16,3135
02/01/16,3147
03/01/16,3160
